newid,age,sex,grade,peer_ecig_susceptibility,household_tobacco_use,perceived_harm_original,perceived_harm_binary,ever_used_ecig
103102,4,2,2,4,0,3,1,0
103103,5,2,2,2,1,1,0,0
103104,4,1,2,4,0,4,1,0
103105,5,1,2,3,0,2,0,0
103107,3,1,1,3,0,4,1,0
103108,6,2,4,NULL,1,4,1,1
103109,8,1,5,4,0,4,1,0
103110,10,2,7,4,0,4,1,0
103111,5,1,2,NULL,0,2,0,1
103112,4,2,2,4,0,4,1,0
103114,6,2,4,3,0,4,1,0
103115,8,1,4,4,0,4,1,0
103117,3,1,1,4,0,3,1,0
103119,4,1,1,4,0,3,1,0
103120,9,2,6,NULL,0,2,0,1
103122,4,2,2,4,0,4,1,0
103123,5,2,2,4,1,3,1,0
103126,6,1,4,NULL,0,3,1,1
103128,7,1,5,3,0,3,1,0
103129,7,2,5,3,0,4,1,0
103130,9,1,5,3,0,3,1,0
103131,8,2,5,4,0,1,0,0
103132,7,2,5,2,1,2,0,0
103133,4,2,2,3,0,3,1,0
103134,3,1,1,4,1,3,1,0
103136,6,1,3,4,0,3,1,0
103138,5,2,3,4,0,4,1,0
103139,6,1,3,4,0,4,1,0
103140,7,1,4,4,0,4,1,0
103141,9,1,6,4,0,4,1,0
103142,3,1,1,4,1,4,1,0
103143,8,1,5,NULL,1,3,1,1
103144,7,2,4,4,0,3,1,0
103147,4,2,1,3,0,3,1,0
103148,4,1,1,4,0,4,1,0
103149,6,1,4,4,0,3,1,0
103151,9,1,7,NULL,0,3,1,1
103154,4,2,1,4,1,4,1,0
103155,7,1,5,NULL,0,2,0,1
103156,7,2,5,4,0,3,1,0
103158,7,2,4,4,1,4,1,0
103161,5,2,1,4,0,4,1,0
103163,5,2,3,4,1,3,1,0
103164,9,2,6,NULL,1,4,1,1
103165,8,2,6,NULL,1,3,1,1
103166,3,2,1,4,1,2,0,0
103168,5,2,2,2,0,3,1,0
103169,5,2,2,4,0,4,1,0
103170,3,2,1,3,1,3,1,0
103171,4,2,2,4,0,1,0,0
103172,7,2,4,4,0,4,1,0
103173,9,1,6,4,0,4,1,0
103174,9,2,7,4,0,3,1,0
103175,5,1,1,3,0,1,0,0
103176,5,1,2,3,0,2,0,0
103177,7,1,5,3,1,2,0,0
103178,7,1,4,4,1,3,1,0
103179,7,2,4,4,0,3,1,0
103181,7,1,4,3,0,2,0,0
103183,7,1,4,2,1,2,0,0
103184,6,2,4,4,1,4,1,0
103185,6,1,4,2,0,3,1,0
103186,7,2,4,2,0,4,1,0
103187,7,1,4,3,0,2,0,0
103188,7,1,4,NULL,1,1,0,1
103189,6,1,4,4,1,3,1,0
103190,9,1,5,3,0,3,1,0
103191,7,1,5,NULL,0,3,1,1
103192,7,1,5,4,0,4,1,0
103193,8,1,5,NULL,1,2,0,1
103194,6,2,4,3,0,3,1,0
103195,7,1,5,4,0,3,1,0
103196,7,1,5,4,1,3,1,0
103197,7,1,5,4,0,4,1,0
103198,6,2,5,4,0,3,1,0
103199,7,2,4,4,0,3,1,0
103200,7,1,5,4,0,4,1,0
103202,8,1,5,4,0,3,1,0
103203,6,2,4,3,1,3,1,0
103205,7,2,5,2,0,2,0,0
103206,8,1,5,3,0,1,0,0
103207,8,1,5,4,0,4,1,0
103208,6,2,4,4,0,3,1,0
103209,8,1,5,3,0,1,0,0
103210,6,1,4,NULL,0,3,1,1
103212,7,2,4,4,0,4,1,0
103213,6,2,4,NULL,0,4,1,1
103214,6,1,4,NULL,0,2,0,1
103215,8,2,6,4,0,3,1,0
103216,8,2,6,3,1,3,1,0
103217,8,1,6,3,0,2,0,0
103218,9,1,6,4,0,4,1,0
103219,8,2,6,4,1,4,1,0
103221,8,1,6,NULL,0,3,1,1
103222,9,2,6,NULL,0,2,0,1
103223,8,2,6,4,1,4,1,0
103224,9,1,6,3,1,2,0,0
103226,9,1,6,NULL,0,3,1,1
103227,9,2,7,2,0,2,0,0
103228,7,2,4,NULL,1,3,1,1
103229,7,1,4,4,0,4,1,0
103230,7,1,5,3,1,4,1,0
103231,8,1,6,4,1,4,1,0
103232,8,2,5,4,0,4,1,0
103233,8,1,6,3,1,4,1,0
103234,9,2,7,NULL,0,4,1,1
103235,10,2,7,NULL,0,4,1,1
103237,9,1,7,NULL,1,2,0,1
103240,7,2,6,4,0,4,1,0
103242,6,2,4,4,0,4,1,0
103244,8,2,5,4,0,3,1,0
103246,9,1,6,4,0,2,0,0
103247,10,2,7,4,0,4,1,0
103248,5,1,3,3,0,3,1,0
103249,5,1,2,3,1,4,1,0
103253,7,2,4,4,1,2,0,0
103254,6,1,4,3,0,3,1,0
103255,9,2,6,4,0,4,1,0
103256,10,1,7,NULL,0,3,1,1
103257,4,1,1,4,0,4,1,0
103258,5,1,2,4,0,4,1,0
103259,4,1,2,4,0,4,1,0
103260,4,1,2,4,0,3,1,0
103261,4,1,2,4,1,4,1,0
103263,6,2,3,3,1,3,1,0
103264,8,2,5,4,0,3,1,0
103266,6,2,4,3,0,3,1,0
103268,7,1,4,4,0,4,1,0
103269,10,1,7,3,0,3,1,0
103270,9,2,7,NULL,1,2,0,1
103271,7,2,4,NULL,1,2,0,1
103272,7,1,4,4,1,3,1,0
103273,1,1,5,NULL,0,2,0,1
103274,6,1,4,4,1,4,1,0
103275,7,1,5,4,0,4,1,0
103276,7,1,5,4,1,3,1,0
103278,7,1,5,4,0,3,1,0
103279,8,2,6,4,0,4,1,0
103281,10,2,7,4,0,4,1,0
103282,10,1,7,NULL,1,2,0,1
103283,9,1,7,4,1,3,1,0
103284,7,1,4,2,0,4,1,0
103285,8,1,4,NULL,1,4,1,1
103286,5,1,2,2,0,3,1,0
103287,6,1,3,4,0,3,1,0
103290,6,2,3,3,0,4,1,0
103291,5,1,3,NULL,0,4,1,1
103292,9,1,6,NULL,0,3,1,1
103293,8,1,6,1,1,4,1,0
103295,10,2,7,3,1,4,1,0
103296,10,2,7,NULL,0,3,1,1
103301,5,1,2,4,0,2,0,0
103304,3,2,1,NULL,1,4,1,1
103305,3,2,1,4,1,3,1,0
103306,3,2,1,NULL,1,3,1,1
103308,4,2,1,4,0,3,1,0
103309,3,2,1,3,0,3,1,0
103310,3,2,1,3,0,4,1,0
103311,4,2,1,4,1,4,1,0
